ig.id,v.A,v.B,v.C,v.D,v.E,v.F,v.G,v.H,v.I,v.J,v.K,v.L,v.M,v.N,v.O,v.P,v.Q,v.R,v.S,v.T,v.dummy
22145,0,1,1,2,1,2,1,0,0,1,0,0,1,0,1,1,0,2,0,2,1
42680,1,0,1,1,1,2,1,0,2,0,1,0,2,0,1,0,1,2,0,1,0
11295,1,1,2,0,1,1,0,2,2,0,0,0,1,0,1,1,1,1,0,1,1
13076,1,0,0,0,0,0,1,0,2,1,0,1,0,0,2,1,0,0,1,0,0
10834,0,0,0,2,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,2,0
16256,1,1,2,0,1,2,2,0,1,0,0,1,1,1,2,0,0,0,0,2,1
30465,0,0,2,1,0,1,0,2,0,0,1,1,0,1,1,0,1,0,1,0,0
40384,0,1,1,2,1,2,1,0,1,0,1,0,1,1,0,0,2,2,1,0,0
36514,0,0,2,0,1,2,2,0,1,1,1,0,2,1,0,0,2,1,1,1,0
48642,1,1,1,0,1,0,1,1,1,0,0,1,0,1,0,1,1,2,0,0,1
20852,0,0,1,0,1,1,1,1,1,0,1,1,0,0,2,0,0,0,0,0,0
19810,0,0,1,0,1,2,1,0,1,0,1,1,0,1,1,1,0,1,1,1,0
38700,0,0,0,2,1,1,1,2,1,0,0,1,1,1,1,0,2,0,1,0,1
17897,0,0,1,0,0,0,1,0,2,0,1,1,0,1,1,1,2,1,1,2,1
27895,0,1,1,2,0,1,1,2,0,1,1,0,0,0,0,0,2,1,1,0,1
439,1,1,1,0,1,0,1,1,2,1,0,0,0,0,2,0,0,0,0,2,0
49592,1,1,1,2,0,2,0,0,0,1,1,1,0,1,2,1,1,2,0,0,0
4012,1,0,2,2,0,2,1,0,1,0,1,0,0,0,1,1,2,1,1,0,1
18998,0,0,0,0,0,0,1,2,2,0,1,1,2,0,0,1,1,2,1,1,0
28739,1,1,2,0,1,1,1,0,0,1,0,0,1,1,2,0,0,1,0,0,1
41975,0,0,0,0,0,0,1,2,1,0,1,0,2,0,0,0,0,2,1,2,0
19288,0,0,0,1,1,0,1,1,2,0,0,1,0,0,2,0,1,0,1,2,0
12396,1,0,2,0,0,1,0,1,0,0,1,1,1,1,2,0,2,2,0,2,0
41405,0,0,0,0,1,0,1,1,0,0,1,1,2,0,1,1,0,2,1,1,1
24765,0,0,0,0,0,1,2,1,1,0,1,0,0,0,1,1,0,1,1,2,0
22010,0,1,2,0,1,1,0,2,0,0,0,1,1,1,1,1,0,0,0,1,1
35654,0,0,1,0,0,0,1,2,1,0,1,0,0,1,2,0,2,1,1,2,1
34553,0,1,1,2,0,0,0,2,1,0,0,1,0,0,2,1,1,1,0,2,0
35011,1,0,2,2,0,2,1,2,2,1,1,0,0,0,2,1,1,2,1,0,0
48115,1,0,2,1,1,2,2,0,1,0,1,1,0,1,2,1,2,0,0,0,1
31570,0,0,2,0,0,0,2,1,0,1,1,0,0,0,0,0,1,0,1,1,1
424,1,1,0,2,0,1,0,0,2,1,0,1,1,0,1,1,2,2,1,0,0
42860,1,0,0,0,1,1,2,1,1,0,1,1,2,1,2,1,0,2,0,2,1
46885,0,1,2,0,0,1,1,1,1,0,0,1,0,0,0,0,2,0,1,1,0
1582,0,0,0,2,0,0,0,2,2,1,1,1,2,1,2,0,1,2,1,1,1
42291,1,0,2,1,1,2,1,1,2,0,1,1,2,1,1,1,2,0,1,2,1
6199,1,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,2,1,1,1
13731,0,0,1,1,0,0,0,2,1,0,1,1,0,1,2,0,2,2,1,2,1
2243,1,0,1,2,0,1,1,0,2,1,1,0,0,0,2,1,0,1,0,2,1
12824,0,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,0
38051,1,0,2,2,0,0,1,0,1,1,1,1,2,1,0,1,2,0,0,0,0
44530,1,1,2,2,0,0,1,0,2,0,1,0,0,0,1,1,0,1,0,2,0
21567,0,0,0,0,0,2,0,0,1,1,1,1,2,0,0,1,2,0,0,1,0
1806,0,1,1,0,0,2,1,1,1,1,1,0,0,1,2,1,2,2,0,2,1
1895,0,1,2,1,1,1,1,2,1,0,0,0,0,1,0,0,1,2,0,2,0
23825,0,0,0,2,1,1,1,1,2,0,0,0,2,1,1,0,1,0,1,1,0
14395,0,1,2,0,1,2,1,0,2,0,0,1,0,1,1,1,2,2,1,0,0
