ig.id,v.A,v.B,v.C,v.D,v.E,v.F,v.G,v.H,v.I,v.J,v.K,v.L,v.M,v.N,v.O,v.P,v.Q,v.R,v.S,v.T,v.U,v.V,v.W,v.X,v.Y,v.Z,v.AA,v.AB,v.AC,v.AD,v.AE,v.AF,v.AG,v.AH,v.AI,v.AJ,v.AK,v.AL,v.AM,v.AN,v.AO,v.AP,v.AQ,v.AR,v.AS,v.AT,v.AU,v.AV,v.AW,v.AX,v.dummy
25820,1,1,1,0,1,2,0,2,0,1,0,0,0,0,0,1,1,0,0,2,2,0,2,0,0,1,1,1,2,1,0,2,1,0,0,2,2,1,0,0,0,0,2,1,0,1,0,1,2,0,1
4087,1,1,2,2,1,2,0,2,1,0,1,0,0,1,1,1,1,0,0,1,2,1,2,0,0,0,0,1,2,1,0,0,0,1,1,2,0,0,1,1,0,1,1,1,0,1,0,0,2,0,0
17050,1,0,1,2,1,1,1,0,0,1,0,1,0,1,1,1,0,1,0,2,1,1,1,0,0,1,1,0,0,0,0,2,0,1,2,2,2,0,2,1,1,1,1,2,0,2,1,1,0,1,0
9253,1,0,2,0,0,0,2,2,0,0,0,0,1,1,1,1,2,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,2,2,2,0,2,1,0,1,2,1
16923,1,0,0,0,0,0,1,0,1,1,0,0,2,1,2,1,2,2,0,2,1,0,0,0,0,0,1,1,2,1,1,0,0,1,0,0,2,0,2,0,0,0,0,2,2,2,0,1,1,2,0
36263,0,1,2,1,0,1,1,2,2,1,0,1,0,1,1,1,2,0,0,2,0,1,1,0,1,1,0,0,0,1,1,1,1,0,0,2,1,0,2,1,0,2,0,1,1,2,0,0,1,0,0
35841,1,0,1,0,0,0,0,2,1,1,1,0,0,1,2,0,2,1,1,0,2,0,2,0,0,1,0,0,0,0,0,1,0,0,0,2,0,1,2,0,0,1,2,1,2,2,0,1,0,0,1
15430,0,0,1,2,0,0,2,2,1,1,1,1,1,1,2,0,1,1,1,2,1,0,2,0,1,0,1,0,1,0,0,0,0,0,1,2,2,0,0,1,1,0,2,1,2,0,1,1,0,2,1
8373,0,1,2,2,1,1,2,1,1,0,1,0,0,1,0,1,2,0,1,2,2,1,0,1,0,1,1,1,0,1,0,1,0,1,1,0,0,1,2,0,1,1,0,2,1,0,0,0,1,1,0
41449,0,1,0,0,0,1,2,1,0,1,0,1,0,1,2,0,2,2,1,1,2,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,2,0,2,1,2,2,1,1,1,2,1,1,1,2,0
32250,1,1,0,0,1,1,0,2,0,0,0,0,2,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,2,0,0,2,0,1,0,1,1,0,1,1,0,2,1,1,1,0,1,0,1,0,1
40619,0,1,1,1,1,2,0,0,1,0,0,1,1,1,2,1,2,0,1,0,0,1,1,1,1,1,1,0,2,0,1,1,0,1,1,0,1,0,0,1,1,2,1,2,2,1,0,0,0,0,0
30533,1,0,0,0,1,1,0,2,2,0,0,0,0,1,0,0,0,0,0,2,0,1,0,1,0,0,1,0,0,1,1,0,0,0,2,0,0,0,2,1,1,0,0,2,1,0,0,1,0,2,1
19570,0,1,1,2,0,0,2,1,0,0,1,1,1,1,1,0,0,2,0,1,1,0,1,1,0,0,1,1,2,1,0,2,0,0,0,2,0,1,0,1,0,2,0,2,1,1,0,0,2,2,0
749,0,0,1,2,0,1,0,1,0,0,1,0,2,1,2,0,0,2,1,2,0,0,2,1,0,0,0,1,2,1,1,1,0,0,0,2,2,0,0,0,0,0,2,1,1,2,1,1,2,0,1
20465,0,0,0,1,1,2,0,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,2,1,2,0,1,0,1,1,1,0,1,1,0,0,1,0,0
12437,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2,1,0,1,1,1,1,1,0,0,0,1,2,0,2,0,2,0,2,2,0,2,2,1,1,1,2,1,1
44075,0,0,1,1,0,1,1,1,0,0,1,1,2,1,1,1,2,1,0,2,0,1,1,1,1,0,1,0,0,0,1,0,0,1,1,2,0,1,1,0,0,1,0,1,1,1,1,0,1,0,1
20046,1,1,1,2,1,0,1,2,2,1,0,1,2,1,2,0,1,0,0,1,2,1,1,1,0,1,1,1,2,1,1,2,0,1,2,2,2,1,2,1,0,0,1,1,1,2,0,1,1,2,0
9674,0,1,1,1,1,2,0,2,0,1,1,0,2,1,2,1,1,2,0,2,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,2,1,0,2,0,1,1,0,1,0,0,0,1
34406,1,1,1,0,0,1,0,2,2,1,1,0,0,1,2,1,2,1,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,2,0,0,1,1,0,2,0,0,1,1,0,0,0,1,0
15748,1,0,1,0,0,1,0,2,0,0,0,0,1,1,0,0,2,2,1,2,0,1,1,1,1,0,0,0,1,1,0,2,0,0,1,0,2,0,2,1,0,1,0,0,1,2,0,0,2,2,1
39796,1,0,1,2,0,0,2,2,1,0,1,1,1,1,2,0,0,1,0,1,2,1,2,0,1,1,0,1,1,0,0,1,0,0,2,2,2,1,1,1,1,2,0,2,1,2,0,0,0,0,1
19681,1,1,1,1,1,0,2,1,2,0,1,0,2,1,0,1,1,1,1,2,1,1,2,1,1,0,1,0,1,1,0,0,0,0,2,0,0,0,1,0,0,2,0,1,1,1,1,0,2,0,0
20481,0,1,1,0,0,0,0,2,1,1,1,0,0,1,0,1,0,1,0,2,0,1,2,0,0,1,1,1,2,0,1,2,1,1,2,0,2,0,1,0,0,1,0,2,2,0,0,1,1,0,1
