ig.id,v.A,v.B,v.C,v.D,v.E,v.F,v.G,v.H,v.I,v.J,v.K,v.L,v.M,v.N,v.O,v.P,v.Q,v.R,v.S,v.T,v.dummy
37785,1,1,1,0,0,2,1,0,2,0,1,0,0,1,0,1,2,1,0,1,1
41320,1,0,2,1,1,2,2,2,1,0,0,1,1,1,1,1,1,2,0,2,0
17746,1,1,0,1,0,1,0,2,2,1,0,0,0,0,2,1,0,0,0,0,1
39776,0,0,0,1,0,0,0,2,2,1,0,1,2,0,2,0,1,1,1,2,0
40660,0,1,0,0,0,1,1,1,1,1,1,1,2,0,2,1,2,1,0,0,1
8678,0,0,1,0,0,1,2,1,0,0,1,1,0,1,0,1,2,0,1,0,1
12410,0,1,0,1,0,1,1,1,2,1,0,0,2,0,1,0,0,2,0,2,1
17015,0,0,0,0,0,0,2,2,1,0,0,1,1,1,2,1,1,1,1,2,1
17479,0,1,0,1,0,0,1,2,1,1,1,0,0,1,2,0,0,1,0,2,1
199,0,0,0,1,1,1,2,2,0,1,0,0,2,1,0,0,2,1,1,0,1
17084,0,0,1,0,0,0,0,2,0,1,1,0,0,0,2,1,0,0,1,0,0
33802,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,1,1
40043,0,1,0,0,1,0,1,1,1,1,0,0,2,0,1,0,0,2,0,0,1
49728,0,1,1,0,1,0,0,2,0,0,0,1,0,0,1,1,0,1,1,0,1
20960,1,1,2,0,0,1,2,2,1,0,0,1,1,1,2,1,0,0,1,2,0
33834,1,0,1,1,0,1,1,1,2,1,0,1,1,0,1,0,0,1,0,0,1
24651,1,1,2,1,0,1,2,2,0,0,0,1,2,0,2,0,1,1,0,0,1
14361,0,0,1,1,1,1,2,1,0,1,0,0,1,1,0,0,2,2,0,1,1
18134,1,0,2,2,0,2,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0
37913,0,1,0,1,0,1,2,2,2,0,1,0,1,1,0,1,0,0,1,2,1
8929,1,1,0,1,1,2,2,0,0,0,0,0,0,1,0,1,1,0,1,0,0
27985,0,0,1,1,1,0,2,2,0,1,1,1,2,0,2,0,1,1,0,2,1
30717,0,1,0,0,1,1,0,1,2,1,1,1,2,1,1,1,0,1,0,2,1
46019,1,1,1,0,1,1,0,2,2,0,1,0,0,1,0,1,0,2,1,0,0
7829,0,0,1,1,0,0,0,2,0,0,1,0,1,1,2,1,2,1,0,1,1
37095,0,1,2,0,0,1,0,0,1,0,1,0,1,0,2,1,0,1,0,1,1
47246,0,1,1,1,0,0,0,2,0,1,1,1,2,0,2,0,1,0,0,2,0
3178,0,0,0,0,1,1,0,2,2,0,0,1,1,0,0,1,2,1,0,0,1
39824,0,1,1,2,0,1,1,2,2,1,0,1,2,1,0,0,2,1,0,0,1
40376,1,1,1,1,1,1,1,2,0,1,1,0,0,1,0,1,1,1,0,2,0
37123,0,1,1,0,1,2,1,0,1,1,1,1,0,0,1,1,2,1,0,0,1
43264,0,1,2,0,1,2,2,2,2,0,0,1,2,1,1,0,0,2,1,2,1
41885,1,1,0,2,0,2,2,0,1,1,1,1,1,1,2,1,0,1,1,0,1
30889,0,0,1,1,0,2,2,2,0,0,0,1,0,1,2,1,1,0,1,0,1
27217,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1
38471,0,1,2,2,0,2,2,1,0,0,1,1,1,0,2,1,1,1,0,2,0
45368,1,0,1,2,0,2,2,2,2,0,1,0,0,1,0,1,2,1,0,0,0
13825,0,0,1,2,1,0,2,0,0,1,0,0,0,1,2,1,1,1,0,2,0
34025,1,0,2,0,1,2,2,1,2,0,1,0,1,0,2,0,0,1,0,2,0
21204,0,1,1,1,0,2,1,2,0,0,0,0,0,1,2,0,2,1,1,1,1
11388,1,1,2,2,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,1
30023,0,0,1,1,0,1,2,1,1,0,0,0,2,1,1,0,2,1,0,1,0
43067,0,1,2,1,0,2,2,1,2,0,1,1,0,1,1,1,0,1,1,2,1
45646,0,0,1,2,0,2,0,0,1,0,1,1,0,0,0,1,0,1,0,2,1
28650,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,0,2,0
2202,0,1,2,1,0,2,1,1,1,1,1,0,2,1,0,0,0,0,1,2,0
13578,0,1,0,0,0,2,1,2,0,1,1,0,1,1,0,0,2,1,0,0,1
38570,1,0,1,0,1,2,0,1,2,1,0,1,2,0,1,0,2,2,0,2,0
29980,1,0,2,0,1,1,2,0,1,0,0,1,1,0,1,1,1,1,1,1,1
11265,0,1,2,2,1,0,1,1,1,1,0,1,2,0,0,0,2,0,1,1,0
31899,1,0,1,1,0,0,0,2,2,0,0,0,1,1,1,0,1,1,0,1,1
46205,1,1,1,2,0,2,2,1,0,0,0,1,0,1,2,1,2,2,1,2,0
29635,0,1,0,1,1,2,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0
34483,1,0,0,2,0,0,1,1,0,1,0,1,2,1,2,0,2,1,1,1,1
39032,0,1,1,2,1,0,0,1,0,1,0,1,0,1,1,1,0,2,0,2,0
49735,1,1,2,1,0,1,1,0,0,0,1,0,1,0,0,0,0,2,1,0,1
1866,1,0,2,1,0,2,2,2,1,0,0,0,1,0,0,0,1,1,0,2,1
29497,1,0,1,1,1,2,2,0,2,0,0,0,1,1,1,0,2,2,0,2,0
15361,1,0,2,0,1,1,2,1,0,1,1,1,1,1,1,1,0,1,0,2,0
39618,1,0,0,0,1,2,1,0,1,0,0,0,2,0,2,0,0,1,0,1,1
46058,0,1,1,2,0,2,2,2,0,1,0,0,1,0,2,0,2,1,1,2,1
158,0,0,1,0,0,0,2,2,1,1,0,1,1,0,0,0,2,1,0,1,0
37228,1,1,0,2,0,0,1,2,1,0,0,1,2,0,0,1,0,0,1,0,0
19743,0,0,1,0,1,0,2,0,1,0,0,1,2,1,2,1,2,1,0,2,1
41945,0,1,1,1,0,1,1,1,2,1,1,1,2,0,1,0,2,2,0,1,0
37296,0,1,1,0,0,2,2,2,0,1,1,0,0,0,2,0,0,0,1,1,1
47471,0,1,1,0,1,1,1,2,1,1,1,0,0,0,2,0,1,1,0,2,0
21779,1,0,2,0,0,1,0,1,2,0,1,0,0,1,2,1,0,0,1,0,1
