ig.id,v.A,v.B,v.C,v.D,v.E,v.F,v.G,v.H,v.I,v.J,v.K,v.L,v.M,v.N,v.O,v.P,v.Q,v.R,v.S,v.T,v.dummy
1340,0,0,0,1,1,1,2,2,1,0,0,0,2,0,1,1,2,1,0,2,1
45017,0,1,0,2,0,1,2,2,2,0,0,0,0,0,0,1,0,0,1,2,1
30087,0,0,2,0,0,1,0,0,0,1,0,1,0,0,1,0,2,1,1,0,0
2209,0,0,0,2,0,1,2,0,1,1,1,0,2,1,1,1,0,2,0,0,0
26610,0,0,1,0,0,1,0,0,2,0,0,0,0,1,0,0,1,1,1,0,1
4676,0,1,0,2,1,2,0,0,0,0,1,1,2,0,2,1,1,1,0,2,1
39324,1,1,1,2,1,2,0,1,1,1,0,1,1,1,0,1,0,1,1,2,1
47530,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1
30044,1,0,0,0,1,2,1,0,1,0,1,1,0,1,0,0,0,2,0,2,1
43314,0,1,1,2,1,1,1,2,2,1,1,1,1,1,1,0,0,1,1,2,0
11372,0,1,1,2,1,2,2,2,1,0,0,0,0,1,0,1,2,0,0,0,1
48260,0,1,2,0,1,2,0,0,2,1,1,0,1,0,2,0,0,2,0,0,1
26247,1,1,0,1,1,2,2,0,2,0,1,1,0,1,1,0,2,0,0,2,0
12730,0,1,1,0,0,2,1,1,2,0,0,0,1,0,1,0,0,0,0,1,0
15013,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,1,1,0
46762,0,0,2,1,0,2,1,1,1,0,0,1,0,1,1,0,2,1,0,0,1
31576,1,1,2,2,0,0,0,1,2,1,1,0,2,1,0,1,2,1,0,0,0
24035,1,1,2,2,0,1,1,1,1,1,0,0,2,1,1,1,1,2,0,2,0
38740,0,1,1,1,0,2,0,2,2,0,1,0,2,1,2,0,0,0,0,2,0
2317,1,0,2,2,1,2,2,0,1,0,0,0,2,1,2,1,2,1,1,1,1
15783,1,0,1,1,0,2,0,2,2,0,0,1,2,0,1,0,2,1,0,2,1
5162,1,1,1,2,1,0,2,0,0,0,1,1,1,0,2,0,0,1,1,1,1
39167,0,1,0,1,1,1,0,2,0,1,1,1,2,1,2,0,2,0,0,2,0
36179,1,1,1,1,1,1,0,1,2,0,1,0,0,1,0,1,0,1,1,0,0
22976,1,1,2,0,0,1,2,2,2,1,0,1,2,1,1,1,1,2,0,1,1
35687,1,1,1,0,0,2,1,0,0,1,0,0,1,1,2,0,0,2,1,2,0
46645,0,0,0,2,0,1,0,2,0,1,0,0,0,0,1,1,2,1,1,0,0
8386,1,0,1,2,0,2,2,2,2,0,0,0,0,0,0,1,2,1,1,1,1
10518,0,1,2,0,1,1,0,2,0,1,1,0,0,1,2,1,1,1,0,1,0
3215,0,0,0,1,1,2,0,1,0,1,1,1,2,0,0,1,1,1,0,1,0
30569,1,0,1,1,0,1,1,2,1,0,1,1,1,1,0,0,2,1,0,1,1
49014,1,1,1,2,1,1,0,2,2,0,1,1,2,0,2,1,0,1,1,0,1
14718,1,1,1,0,1,2,1,2,1,0,0,0,0,1,2,1,0,1,0,0,0
47084,1,1,1,1,0,2,1,2,1,1,1,0,2,1,0,0,2,2,1,1,0
6679,1,1,2,2,0,2,1,0,2,1,1,1,2,0,1,0,2,1,0,2,1
41594,0,1,1,2,0,2,0,2,2,0,1,0,0,1,0,1,0,0,0,0,0
12388,0,1,1,0,0,0,2,0,0,1,1,0,2,0,2,0,0,0,1,0,0
47235,0,0,1,0,1,0,1,1,0,1,1,1,2,0,2,0,0,0,0,1,1
38175,1,0,1,1,1,2,1,1,2,0,0,0,1,0,0,1,1,1,1,1,0
33295,1,1,0,1,0,0,2,1,2,0,1,1,0,0,1,1,2,1,1,0,1
49390,1,1,0,0,0,2,2,2,1,0,1,1,0,0,2,1,0,0,0,1,1
