ig.id,v.A,v.B,v.C,v.D,v.E,v.F,v.G,v.H,v.I,v.J,v.K,v.L,v.M,v.N,v.O,v.P,v.Q,v.R,v.S,v.T,v.dummy
3343,1,0,0,2,0,2,0,2,0,1,0,1,0,1,2,0,2,0,1,2,0
28465,0,0,0,2,0,1,1,0,0,0,1,1,0,1,0,0,2,2,0,1,0
26853,1,0,2,1,0,0,2,0,2,0,0,1,0,1,0,1,1,0,0,1,0
48582,0,1,1,2,0,2,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0
41337,1,1,2,1,0,2,2,0,1,1,0,1,2,0,0,0,0,0,1,1,0
29407,1,1,0,1,0,0,1,1,0,0,0,0,2,1,1,1,2,2,0,0,1
15109,1,1,0,0,1,1,2,1,2,1,1,0,1,0,0,0,1,2,1,2,1
34583,1,0,1,1,1,2,0,0,1,0,0,0,1,0,1,0,2,1,0,0,0
27303,1,1,0,1,0,1,1,1,0,0,1,1,2,0,1,0,1,0,1,1,0
45048,0,1,2,0,0,0,0,0,0,0,1,0,2,0,1,0,2,1,0,2,1
2624,1,0,2,0,1,1,2,0,2,0,0,1,0,0,0,1,2,2,1,0,0
49103,1,1,1,0,0,1,2,2,2,0,0,1,2,0,1,0,0,1,0,1,0
48296,1,0,2,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,2,0
49314,0,1,1,0,0,0,0,2,0,0,1,1,0,0,1,0,0,1,1,2,1
18263,1,0,1,1,1,1,0,0,1,1,1,1,2,1,2,0,0,1,0,2,0
23060,1,0,2,0,1,2,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0
39246,1,1,2,1,1,0,1,0,2,1,1,1,0,1,0,1,1,1,0,2,1
40191,1,1,1,2,1,2,2,0,0,1,1,1,2,1,0,0,1,1,0,1,1
13189,1,0,2,0,0,2,1,0,1,0,0,0,2,0,0,1,2,1,0,0,0
40758,1,0,1,0,1,1,0,2,2,1,1,0,1,0,0,1,2,2,1,1,0
41683,1,1,2,0,1,0,1,0,2,0,1,0,0,1,1,0,1,0,0,1,1
7598,0,0,1,1,0,2,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0
15150,0,1,1,2,0,1,0,0,2,1,1,0,1,1,1,1,0,1,0,0,0
23684,0,1,0,1,1,1,0,1,2,1,0,0,0,1,0,0,2,1,1,0,0
19715,1,0,2,1,1,0,0,1,1,0,0,1,2,1,1,1,1,1,1,2,1
30270,1,0,1,1,1,2,0,2,2,1,0,0,0,1,1,1,0,1,1,1,1
42173,0,1,0,1,1,1,2,0,1,1,1,0,1,0,1,1,0,1,1,2,0
13036,0,1,2,0,1,2,2,1,2,0,1,0,1,0,2,1,0,1,0,0,1
38792,0,1,2,2,0,1,1,2,1,0,1,0,2,1,2,0,1,0,0,1,0
49085,0,0,1,1,1,0,2,2,2,0,1,0,1,1,2,1,1,1,1,1,0
995,0,1,1,0,0,2,2,1,2,1,1,1,0,0,2,0,2,1,1,0,0
45553,1,0,1,1,0,2,0,1,0,1,0,0,2,1,1,1,1,2,1,1,1
4340,0,0,0,1,1,1,2,0,2,1,1,0,1,0,0,1,1,1,1,2,0
26955,0,1,1,0,1,1,1,0,2,0,1,0,1,1,0,1,0,2,1,1,0
139,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,2,1,1,2,1
14945,1,0,0,0,0,1,2,2,0,1,0,1,0,0,0,0,1,1,1,1,0
13596,1,0,0,2,0,1,2,1,1,1,1,0,1,0,0,1,0,0,0,0,1
19164,0,1,0,1,1,2,2,1,0,1,0,0,0,1,0,0,0,0,1,2,0
26280,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,1,1,2,1,0,0
22889,0,1,0,0,0,1,0,0,2,1,1,0,0,0,0,1,0,1,0,2,0
44551,0,1,0,1,1,2,0,0,2,1,0,0,2,0,0,1,2,1,1,0,0
32548,0,0,1,1,0,1,0,0,2,1,0,0,0,1,1,1,1,0,1,0,1
11338,1,1,1,0,0,2,2,0,0,0,0,1,0,1,2,0,2,1,1,0,0
27661,1,1,0,0,1,1,1,2,0,0,0,0,0,1,0,1,0,0,1,0,1
5679,1,0,2,0,1,1,1,1,2,0,0,0,0,0,1,0,1,2,1,1,1
9511,0,1,0,0,0,2,2,0,0,0,1,1,0,0,0,1,0,0,0,1,1
6757,1,1,1,0,0,0,2,0,0,1,0,1,1,1,0,0,2,0,1,0,1
38466,0,0,0,1,1,1,0,1,0,1,0,0,2,1,0,1,1,0,1,1,0
26491,1,0,1,0,1,1,2,1,1,1,1,0,1,0,1,1,0,0,1,0,0
33118,0,0,0,0,0,0,0,2,0,1,1,1,0,1,0,1,2,0,1,0,0
16560,0,0,1,1,0,2,2,0,0,1,0,0,0,0,1,0,1,0,0,1,0
45456,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0
17250,0,0,0,0,1,0,2,1,1,0,0,1,2,1,0,1,1,1,1,1,1
12694,1,0,2,2,0,2,1,1,1,1,0,0,0,1,0,1,0,2,0,1,0
44810,0,0,1,0,0,2,1,2,2,1,0,1,0,0,2,0,1,0,1,0,0
4581,1,0,2,0,0,0,2,1,0,1,1,1,1,0,2,0,0,0,0,1,0
37643,0,1,2,0,0,1,1,1,1,0,1,0,2,1,1,0,0,0,1,0,0
18498,0,0,0,0,1,1,0,0,2,0,1,1,0,1,0,0,1,2,1,2,0
36303,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,2,0
5943,0,0,0,1,1,1,1,1,2,0,0,1,1,1,2,0,0,1,1,1,0
47060,0,1,2,2,1,2,0,1,1,0,1,0,0,1,1,0,2,0,0,2,0
37284,0,1,1,0,0,0,0,1,1,1,1,1,0,0,2,0,0,1,1,0,1
41515,1,1,0,0,0,2,2,0,1,1,0,1,2,0,0,0,2,1,1,0,1
23668,1,0,2,0,0,2,1,1,0,1,1,0,2,1,0,0,1,1,0,2,0
43988,1,1,0,0,1,2,1,1,1,1,1,1,1,1,2,0,0,0,0,0,1
49641,0,0,2,2,0,1,1,0,0,1,0,1,2,1,0,1,2,2,1,0,1
39986,0,1,2,0,0,1,2,0,1,1,1,0,1,1,2,1,1,2,0,1,1
11686,0,1,2,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,2,0
29366,1,1,0,2,0,2,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0
43420,0,0,2,0,1,0,0,2,1,0,1,1,1,0,0,1,1,2,0,1,0
7457,1,0,2,0,1,2,1,0,2,1,1,1,2,0,0,1,1,1,1,2,0
30669,0,1,1,0,1,1,0,0,2,1,0,0,0,0,2,1,2,1,1,0,1
48588,0,0,0,1,0,1,0,0,2,1,0,1,2,1,2,0,0,0,0,2,0
3376,0,1,1,2,0,1,0,1,2,1,0,1,1,1,2,0,1,1,1,0,1
25670,0,0,2,1,1,2,1,0,0,0,0,1,0,1,0,0,2,0,0,1,0
48210,0,1,0,1,0,2,0,0,2,1,0,0,0,0,1,0,2,2,0,0,0
43974,0,0,2,0,0,2,2,0,1,0,1,1,2,0,2,0,2,0,1,0,0
1559,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,1,0,1,0,2,0
28565,0,1,2,0,0,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0
48430,0,0,0,0,1,1,1,1,1,1,1,0,1,0,2,1,2,1,1,2,1
12393,1,1,1,0,0,0,2,1,0,1,0,0,0,1,1,1,1,1,0,0,1
4821,0,1,1,1,0,2,0,0,0,0,1,0,0,0,0,0,2,1,0,1,1
44816,1,1,1,0,1,1,2,2,0,1,0,0,0,1,0,0,2,0,0,0,1
24393,0,0,2,0,1,0,2,0,2,0,1,1,0,0,2,1,0,1,1,1,1
42275,1,0,2,1,0,0,0,0,1,1,1,0,2,1,2,0,0,0,0,1,0
40930,0,1,2,1,1,2,0,0,1,0,0,0,1,1,2,1,0,1,1,1,0
25417,0,1,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,2,0,1,0
24802,0,1,0,1,1,2,1,2,0,0,0,0,2,0,1,0,1,0,0,2,0
4997,0,0,1,1,1,2,2,0,2,1,0,1,0,0,0,1,2,1,1,0,0
4376,1,1,2,0,1,1,0,2,2,0,1,0,1,0,1,1,0,0,1,1,1
39768,0,0,2,1,1,1,2,0,2,0,1,1,1,1,2,1,0,1,1,2,0
31186,1,1,0,1,1,1,0,0,1,0,1,1,2,0,0,0,1,1,1,0,0
44214,0,1,0,2,0,0,0,2,2,1,1,0,2,0,1,0,1,2,0,1,0
8560,0,0,0,0,1,2,1,0,1,1,0,1,1,1,0,0,1,0,0,1,1
36114,0,0,0,0,0,0,2,1,2,0,0,0,1,0,0,1,0,2,0,1,1
35216,0,1,2,1,1,1,1,0,2,0,1,1,0,0,1,0,2,1,0,0,1
29805,0,1,1,1,0,1,0,2,0,0,0,1,0,0,0,1,0,2,0,1,1
13190,0,0,1,2,1,0,1,1,2,0,1,0,1,1,0,0,1,2,1,1,1
7724,0,1,0,1,0,0,0,0,0,1,1,0,0,1,2,1,1,1,0,0,0
803,0,1,1,0,1,0,2,1,1,0,0,0,2,1,2,0,2,0,1,2,0
372,0,1,1,1,0,1,2,0,0,1,1,0,0,0,0,1,0,0,1,1,1
9793,0,1,1,1,1,1,0,0,2,1,1,1,0,1,1,1,1,0,1,1,1
30307,1,1,0,2,0,0,2,2,0,1,1,1,0,0,0,1,0,2,1,2,0
38589,0,0,0,0,0,1,0,2,1,1,1,0,2,1,1,0,2,0,0,1,0
215,1,1,2,0,0,2,0,2,2,1,0,0,0,1,0,0,0,1,1,2,0
475,0,0,0,1,0,2,2,1,2,1,0,0,0,1,1,0,1,2,1,0,1
45693,1,1,1,2,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0
3432,0,0,0,1,1,2,1,0,0,1,1,0,0,1,2,1,0,1,0,2,0
32272,1,1,2,2,0,1,2,1,2,0,0,0,0,1,0,0,2,0,1,0,0
4404,1,1,0,2,1,0,2,2,1,0,1,1,2,0,2,1,0,0,1,2,0
48237,0,1,0,2,0,1,1,2,2,1,1,0,0,0,1,1,2,0,0,0,1
4182,1,0,2,1,1,1,2,0,1,0,1,0,0,0,1,1,1,2,1,1,1
3055,0,0,2,2,0,1,1,0,0,1,1,0,0,0,2,0,1,0,1,0,0
31237,0,1,2,2,0,1,1,2,2,0,0,0,0,0,1,0,1,1,0,0,1
9873,1,1,2,1,1,1,1,2,2,1,1,0,0,0,0,0,0,1,1,0,0
24049,1,1,0,1,1,1,0,0,1,0,0,0,0,0,2,0,1,1,1,1,1
24308,0,0,2,1,1,0,2,0,1,1,1,1,2,0,1,1,0,2,1,1,1
17162,1,1,2,1,1,2,2,0,1,0,1,0,1,1,0,1,0,0,0,2,1
46247,0,1,1,0,0,1,2,0,0,0,1,0,2,0,2,0,0,0,1,2,0
41306,1,0,0,1,0,1,0,2,1,0,1,1,1,1,0,1,2,2,0,2,0
34899,1,1,1,1,1,0,1,2,2,0,0,1,0,0,0,0,1,1,0,1,0
24267,0,1,0,0,1,1,0,2,2,1,1,0,0,1,1,0,1,1,1,1,0
2554,1,1,2,0,0,2,2,0,0,0,0,0,2,1,2,0,2,1,0,2,1
10029,1,0,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0
35576,0,1,1,0,1,2,2,1,2,1,0,1,0,0,0,0,1,0,1,1,0
43612,0,0,2,2,1,2,0,0,2,1,1,0,0,1,1,1,1,1,1,2,1
8549,1,1,0,2,0,1,0,0,1,0,0,0,2,1,0,0,1,2,1,0,1
17155,0,1,1,0,1,1,0,0,2,1,1,1,1,0,0,0,1,2,0,1,0
